Humidity,Temperature,Step_count,Stress_Level
21.33,90.33,123,mid
21.41,90.41,93,mid
27.12,96.12,196,high
27.64,96.64,177,high
10.87,79.87,87,low
11.31,80.31,40,low
18.16,87.16,88,mid
28.2,97.2,162,high
14.25,83.25,61,low
26.13,95.13,168,high
23.61,92.61,200,high
19.37,88.37,117,mid
29.08,98.08,179,high
17.83,86.83,55,mid
28.06,97.06,148,high
19.43,88.43,123,mid
26.85,95.85,169,high
26.51,95.51,135,high
29.49,98.49,149,high
20.94,89.94,122,mid
28.6,97.6,131,high
18.62,87.62,43,mid
14.43,83.43,79,low
26.69,95.69,153,high
15.67,84.67,21,mid
26.63,95.63,147,high
17.58,86.58,30,mid
21.53,90.53,105,mid
20.99,89.99,127,mid
23.94,92.94,162,high
19.06,88.06,87,mid
25.46,94.46,172,high
29.19,98.19,190,high
28.73,97.73,144,high
21.69,90.69,121,mid
23.66,92.66,134,high
19.51,88.51,93,mid
14.84,83.84,29,low
15.34,84.34,79,mid
20.76,89.76,104,mid
28.08,97.08,150,high
14.23,83.23,59,low
20.0,89.0,104,mid
13.13,82.13,40,low
21.96,90.96,110,mid
24.84,93.84,181,high
15.14,84.14,59,mid
13.89,82.89,25,low
21.77,90.77,129,mid
20.43,89.43,109,mid
24.82,93.82,179,high
23.89,92.89,157,high
13.06,82.06,33,low
19.94,88.94,98,mid
24.06,93.06,174,high
19.56,88.56,98,mid
17.39,86.39,11,mid
13.03,82.03,30,low
21.8,90.8,94,mid
23.24,92.24,163,high
12.26,81.26,44,low
18.37,87.37,18,mid
23.46,92.46,185,high
20.05,89.05,109,mid
19.07,88.07,88,mid
24.52,93.52,149,high
21.67,90.67,119,mid
12.06,81.06,24,low
21.86,90.86,100,mid
23.09,92.09,148,high
25.74,94.74,200,high
22.63,91.63,109,mid
21.12,90.12,102,mid
25.47,94.47,173,high
23.56,92.56,195,high
21.0,90.0,128,mid
25.81,94.81,136,high
25.76,94.76,131,high
22.66,91.66,112,mid
26.78,95.78,162,high
22.77,91.77,123,mid
20.66,89.66,94,mid
16.75,85.75,38,mid
26.87,95.87,171,high
27.84,96.84,197,high
25.34,94.34,160,high
12.79,81.79,6,low
27.92,96.92,134,high
11.33,80.33,42,low
16.47,85.47,10,mid
29.74,98.74,174,high
20.89,89.89,117,mid
27.96,96.96,138,high
24.53,93.53,150,high
28.44,97.44,186,high
11.89,80.89,7,low
25.89,94.89,144,high
29.5,98.5,150,high
21.38,90.38,128,mid
14.18,83.18,54,low
19.0,88.0,81,mid
28.68,97.68,139,high
12.54,81.54,72,low
21.26,90.26,116,mid
11.77,80.77,86,low
20.44,89.44,110,mid
22.59,91.59,105,mid
10.31,79.31,31,low
10.6,79.6,60,low
17.5,86.5,22,mid
24.08,93.08,176,high
22.64,91.64,110,mid
18.53,87.53,34,mid
28.95,97.95,166,high
25.78,94.78,133,high
17.24,86.24,87,mid
24.0,93.0,168,high
25.63,94.63,189,high
20.73,89.73,101,mid
29.06,98.06,177,high
19.84,88.84,126,mid
17.21,86.21,84,mid
18.65,87.65,46,mid
21.68,90.68,120,mid
12.58,81.58,76,low
13.22,82.22,49,low
22.42,91.42,118,mid
27.8,96.8,193,high
29.79,98.79,179,high
11.92,80.92,10,low
13.28,82.28,55,low
10.4,79.4,40,low
20.11,89.11,115,mid
13.46,82.46,73,low
13.95,82.95,31,low
27.86,96.86,199,high
20.63,89.63,129,mid
18.07,87.07,79,mid
19.97,88.97,101,mid
14.16,83.16,52,low
28.45,97.45,187,high
28.36,97.36,178,high
29.3,98.3,130,high
19.26,88.26,106,mid
29.78,98.78,178,high
23.93,92.93,161,high
28.62,97.62,133,high
25.19,94.19,145,high
23.78,92.78,146,high
28.22,97.22,164,high
21.39,90.39,129,mid
17.88,86.88,60,mid
29.94,98.94,194,high
21.05,90.05,95,mid
29.89,98.89,189,high
28.84,97.84,155,high
26.06,95.06,161,high
24.4,93.4,137,high
16.79,85.79,42,mid
26.03,95.03,158,high
26.38,95.38,193,high
10.46,79.46,46,low
21.97,90.97,111,mid
26.32,95.32,187,high
26.46,95.46,130,high
12.74,81.74,1,low
29.37,98.37,137,high
14.83,83.83,28,low
16.88,85.88,51,mid
10.92,79.92,1,low
11.45,80.45,54,low
14.35,83.35,71,low
15.21,84.21,66,mid
27.14,96.14,198,high
16.54,85.54,17,mid
11.84,80.84,2,low
17.56,86.56,28,mid
28.87,97.87,158,high
11.88,80.88,6,low
13.62,82.62,89,low
15.86,84.86,40,mid
29.91,98.91,191,high
25.87,94.87,142,high
24.62,93.62,159,high
23.82,92.82,150,high
26.64,95.64,148,high
29.86,98.86,186,high
28.25,97.25,167,high
16.82,85.82,45,mid
26.61,95.61,145,high
21.27,90.27,117,mid
24.78,93.78,175,high
27.43,96.43,156,high
16.56,85.56,19,mid
13.0,82.0,27,low
19.14,88.14,94,mid
16.04,85.04,58,mid
25.96,94.96,151,high
25.41,94.41,167,high
22.71,91.71,117,mid
14.59,83.59,4,low
14.77,83.77,22,low
14.07,83.07,43,low
11.09,80.09,18,low
10.52,79.52,52,low
22.06,91.06,120,mid
17.77,86.77,49,mid
12.56,81.56,74,low
20.98,89.98,126,mid
27.17,96.17,130,high
10.65,79.65,65,low
11.32,80.32,41,low
22.09,91.09,123,mid
20.93,89.93,121,mid
14.92,83.92,37,low
21.98,90.98,112,mid
21.78,90.78,92,mid
10.33,79.33,33,low
12.61,81.61,79,low
19.09,88.09,90,mid
26.19,95.19,174,high
27.11,96.11,195,high
23.59,92.59,198,high
27.26,96.26,139,high
29.35,98.35,135,high
19.99,88.99,103,mid
22.18,91.18,94,mid
14.36,83.36,72,low
12.41,81.41,59,low
11.48,80.48,57,low
15.43,84.43,88,mid
18.93,87.93,74,mid
14.42,83.42,78,low
18.74,87.74,55,mid
10.21,79.21,21,low
26.98,95.98,182,high
22.41,91.41,117,mid
21.74,90.74,126,mid
17.44,86.44,16,mid
27.99,96.99,141,high
25.44,94.44,170,high
16.93,85.93,56,mid
11.1,80.1,19,low
25.16,94.16,142,high
17.53,86.53,25,mid
13.58,82.58,85,low
12.72,81.72,90,low
27.69,96.69,182,high
26.24,95.24,179,high
23.67,92.67,135,high
16.01,85.01,55,mid
22.04,91.04,118,mid
25.32,94.32,158,high
15.97,84.97,51,mid
13.94,82.94,30,low
22.39,91.39,115,mid
11.55,80.55,64,low
10.19,79.19,19,low
14.28,83.28,64,low
24.01,93.01,169,high
19.57,88.57,99,mid
21.92,90.92,106,mid
12.86,81.86,13,low
20.09,89.09,113,mid
19.45,88.45,125,mid
21.15,90.15,105,mid
18.79,87.79,60,mid
20.31,89.31,97,mid
10.85,79.85,85,low
12.49,81.49,67,low
27.23,96.23,136,high
20.1,89.1,114,mid
11.87,80.87,5,low
29.11,98.11,182,high
11.9,80.9,8,low
21.17,90.17,107,mid
10.2,79.2,20,low
11.52,80.52,61,low
22.62,91.62,108,mid
24.7,93.7,167,high
23.38,92.38,177,high
23.44,92.44,183,high
26.86,95.86,170,high
25.01,94.01,198,high
26.55,95.55,139,high
19.34,88.34,114,mid
27.13,96.13,197,high
23.52,92.52,191,high
11.02,80.02,11,low
28.26,97.26,168,high
22.0,91.0,114,mid
10.1,79.1,10,low
12.63,81.63,81,low
25.14,94.14,140,high
20.46,89.46,112,mid
11.54,80.54,63,low
14.22,83.22,58,low
12.55,81.55,73,low
11.05,80.05,14,low
18.87,87.87,68,mid
20.08,89.08,112,mid
20.24,89.24,128,mid
24.85,93.85,182,high
18.47,87.47,28,mid
17.32,86.32,4,mid
26.21,95.21,176,high
23.32,92.32,171,high
16.2,85.2,74,mid
26.83,95.83,167,high
29.17,98.17,188,high
13.16,82.16,43,low
20.68,89.68,96,mid
24.23,93.23,191,high
15.99,84.99,53,mid
23.18,92.18,157,high
11.66,80.66,75,low
29.77,98.77,177,high
11.21,80.21,30,low
14.58,83.58,3,low
10.3,79.3,30,low
10.81,79.81,81,low
28.09,97.09,151,high
18.71,87.71,52,mid
22.56,91.56,102,mid
12.15,81.15,33,low
17.85,86.85,57,mid
25.21,94.21,147,high
28.66,97.66,137,high
18.7,87.7,51,mid
15.65,84.65,19,mid
27.7,96.7,183,high
26.14,95.14,169,high
15.07,84.07,52,mid
15.27,84.27,72,mid
28.14,97.14,156,high
24.25,93.25,193,high
23.77,92.77,145,high
28.7,97.7,141,high
17.42,86.42,14,mid
27.36,96.36,149,high
24.88,93.88,185,high
10.23,79.23,23,low
14.21,83.21,57,low
10.08,79.08,8,low
28.49,97.49,191,high
22.13,91.13,127,mid
18.33,87.33,14,mid
19.32,88.32,112,mid
21.58,90.58,110,mid
21.55,90.55,107,mid
23.26,92.26,165,high
15.79,84.79,33,mid
16.73,85.73,36,mid
21.63,90.63,115,mid
18.78,87.78,59,mid
19.4,88.4,120,mid
13.08,82.08,35,low
25.26,94.26,152,high
11.67,80.67,76,low
12.4,81.4,58,low
17.84,86.84,56,mid
29.41,98.41,141,high
15.24,84.24,69,mid
25.43,94.43,169,high
25.66,94.66,192,high
23.79,92.79,147,high
17.06,86.06,69,mid
29.29,98.29,200,high
24.39,93.39,136,high
10.78,79.78,78,low
17.48,86.48,20,mid
20.91,89.91,119,mid
19.85,88.85,127,mid
17.15,86.15,78,mid
28.29,97.29,171,high
17.38,86.38,10,mid
14.31,83.31,67,low
23.27,92.27,166,high
20.22,89.22,126,mid
25.97,94.97,152,high
14.11,83.11,47,low
18.32,87.32,13,mid
19.19,88.19,99,mid
24.64,93.64,161,high
22.82,91.82,128,mid
23.74,92.74,142,high
11.25,80.25,34,low
29.58,98.58,158,high
16.14,85.14,68,mid
11.59,80.59,68,low
10.24,79.24,24,low
27.81,96.81,194,high
12.11,81.11,29,low
17.89,86.89,61,mid
16.65,85.65,28,mid
16.25,85.25,79,mid
15.44,84.44,89,mid
14.05,83.05,41,low
10.77,79.77,77,low
20.47,89.47,113,mid
26.26,95.26,181,high
28.13,97.13,155,high
20.33,89.33,99,mid
27.02,96.02,186,high
22.08,91.08,122,mid
21.75,90.75,127,mid
26.81,95.81,165,high
15.72,84.72,26,mid
28.63,97.63,134,high
19.68,88.68,110,mid
20.9,89.9,118,mid
12.32,81.32,50,low
10.36,79.36,36,low
21.31,90.31,121,mid
21.51,90.51,103,mid
14.99,83.99,44,low
21.71,90.71,123,mid
21.48,90.48,100,mid
14.44,83.44,80,low
18.68,87.68,49,mid
29.68,98.68,168,high
24.97,93.97,194,high
29.92,98.92,192,high
16.38,85.38,1,mid
27.39,96.39,152,high
12.02,81.02,20,low
11.38,80.38,47,low
20.12,89.12,116,mid
14.09,83.09,45,low
24.35,93.35,132,high
28.97,97.97,168,high
29.02,98.02,173,high
28.28,97.28,170,high
16.84,85.84,47,mid
26.43,95.43,198,high
29.48,98.48,148,high
17.41,86.41,13,mid
25.04,94.04,130,high
15.51,84.51,5,mid
13.24,82.24,51,low
16.76,85.76,39,mid
24.28,93.28,196,high
22.73,91.73,119,mid
16.28,85.28,82,mid
14.71,83.71,16,low
19.21,88.21,101,mid
24.24,93.24,192,high
14.88,83.88,33,low
18.5,87.5,31,mid
15.96,84.96,50,mid
10.44,79.44,44,low
25.73,94.73,199,high
